Año,Mes,Export FOB (miles),Toneladas
2007,6,59323.734000000004,101951.35699999999
2007,7,59502.055,97801.88300000002
2007,8,54575.405,90558.21399999999
2007,9,51564.431,76315.491
2007,10,61066.668,81796.43699999999
2007,11,54477.824,86700.23599999999
2007,12,66254.683,91443.80300000001
2008,1,76871.62700000001,107019.204
2008,2,76080.565,114740.559
2008,3,79219.168,111641.57100000001
2008,4,63707.343,91081.965
2008,5,87081.184,104475.043
2008,6,68511.585,85316.76699999999
2008,7,70529.30500000001,78983.08799999999
2008,8,69207.943,85434.454
2008,9,50280.154,58673.662
2008,10,54420.640999999996,74982.073
2008,11,70845.096,87064.114
2008,12,79763.552,108527.166
2009,1,89779.017,139273.824
2009,2,88991.51000000001,125687.729
2009,3,101227.72,134181.79
2009,4,91669.372,125690.30099999999
2009,5,83804.209,136672.519
2009,6,73278.128,106879.371
2009,7,90949.256,128602.943
2009,8,83906.045,107470.96800000001
2009,9,71708.255,78294.581
2009,10,92842.931,108834.80399999999
2009,11,87355.988,91075.453
2009,12,120474.985,149006.00300000003
2010,1,86719.89441,103566.62638
2010,2,85266.59,112283.08174
2010,3,89442.92712,110097.92205000001
2010,4,88569.08196,121071.97408
2010,5,90724.06201,108603.3463
2010,6,96186.72251,102327.72836000001
2010,7,96284.80329,114943.05951
2010,8,74882.08514,87685.98384999999
2010,9,68632.05999,86342.80849
2010,10,85395.47725,86484.5992
2010,11,82623.16596,80759.16593
2010,12,112387.05474,117880.8083
2011,1,102325.04655,122298.75544
2011,2,96928.02607,103392.97457
2011,3,126769.06089000001,115804.58682
2011,4,112707.28223000001,120591.45977999999
2011,5,95473.25344999999,92703.30151
2011,6,101268.95951,93130.13799
2011,7,109884.01124,93873.18269
2011,8,115398.6302,90330.07383
2011,9,108277.28344,93311.92495
2011,10,106729.05132000001,82910.71901
2011,11,124454.14022999999,94381.15006000001
2011,12,146553.28796,117589.76127999999
2012,1,111083.21297000001,97156.14491999999
2012,2,110997.21513,110315.37627
2012,3,125468.22573,111108.95185
2012,4,98546.53493,80695.175
2012,5,106475.49366000001,85633.46956000001
2012,6,106406.33932999999,86531.16236
2012,7,101459.62163,83210.68634999999
2012,8,94518.66845,76740.10549
2012,9,76321.77244,56893.22105
2012,10,74718.35636,60424.03868
2012,11,99241.86368,82938.24605
2012,12,125011.41576,95070.85914
2013,1,96180.08552,97702.434789
2013,2,111312.8471,90718.15036
2013,3,121521.663961,97437.35648
2013,4,119836.86537,88747.462339
2013,5,116889.625742,96000.053723
2013,6,101124.31611000001,93690.32922000001
2013,7,111651.85658,89911.152927
2013,8,140051.01961,89387.55361999999
2013,9,90700.76818,72159.808059
2013,10,97851.3753,82687.40949
2013,11,114697.78774,82163.50558099999
2013,12,145615.23943000002,101066.32831
2014,1,157074.31601,129178.96001599998
2014,2,128260.46931,89716.38224
2014,3,133315.62431,84898.33215
2014,4,125195.9489,87030.826019
2014,5,151896.344048,102302.08661
2014,6,135406.13401,92272.792174
2014,7,153801.96878,118998.06561199999
2014,8,123926.4771,80885.365112
2014,9,126693.77872,70164.32255
2014,10,129808.80611,85282.35609
2014,11,125531.14672,81831.36
2014,12,169062.048595,115280.10779000001
2015,1,148214.69184,120837.698106
2015,2,153185.3155,113798.98641099999
2015,3,147968.07116000002,102992.890314
2015,4,118503.35544,97658.848193
2015,5,122066.94323,102137.75718999999
2015,6,128895.76288000001,97749.885488
2015,7,131589.20674,119700.05268299999
2015,8,111888.03914000001,89289.701518
2015,9,93406.86833000001,74429.942385
2015,10,115904.67657,93023.064133
2015,11,104078.45528,78943.906172
2015,12,133986.87838,113699.93837300001
2016,1,136014.8619,129155.446577
2016,2,116957.19485,113625.181514
