Año,Mes,Producto,Export FOB (miles),Toneladas
2006,10,Café Lavado,2691.361,1441.269
2006,10,Camarones,18154.443,3752.549
2006,10,Elaborados De Cacao,215.27800000000002,55.358
2006,10,Pescado,3204.8379999999997,858.336
2006,10,Plátano,1510.645,5461.241
2006,11,Atún,4171.035,789.503
2006,11,Banano,19020.870000000003,75950.88900000001
2006,11,Cacao,2917.256,1720.832
2006,11,Café Industrializado,301.841,110.871
2006,11,Café Lavado,2119.808,1060.875
2006,11,Camarones,25900.885,5102.7429999999995
2006,11,Elaborados De Cacao,123.984,40.967
2006,11,Pescado,2682.308,710.2049999999999
2006,11,Plátano,1832.263,6645.788
2006,12,Atún,4345.673,918.138
2006,12,Banano,25965.372,97594.92899999999
2006,12,Cacao,3508.391,1900.536
2006,12,Café Industrializado,57.57,15.39
2006,12,Café Lavado,3763.83,1630.125
2006,12,Camarones,28198.087,5688.385
2006,12,Elaborados De Cacao,213.493,52.31199999999999
2006,12,Pescado,3599.981,852.109
2006,12,Plátano,2352.505,8321.04
2007,1,Atún,5208.276,1297.694
2007,1,Banano,21498.214,88509.446
2007,1,Cacao,3206.416,1435.821
